loc,alpha,k,clip_factor,jump_penalty,rep,model,bac,sd,mad,d_med,cdist_mad,kurt,secs,error
0.0008,0.8,2.0,8,30,0,kmeans,0.5082843519610358,0.005109968591401139,0.003187672682115246,0.001613122082997854,0.5060501010810914,3.9909297866277953,0.4,
0.0018,1.4,4.0,12,30,9,jump,0.8240158055128748,0.004748263366355624,0.004455286074458119,0.003585334295422551,0.8047371673790045,1.3788490906115864,36.1,
0.0018,1.4,4.0,12,30,9,kmeans,0.7981665534625433,0.004748263366355624,0.004455286074458119,0.003585334295422551,0.8047371673790045,1.3788490906115864,0.3,
0.002,1.1,2.0,12,30,9,jump,0.8024927239785704,0.006027065129299155,0.0045702306008632235,0.003985063384199324,0.8719611179896757,4.853085208540581,36.9,
0.002,1.1,2.0,12,30,9,kmeans,0.7761242578246021,0.006027065129299155,0.0045702306008632235,0.003985063384199324,0.8719611179896757,4.853085208540581,0.3,
0.0018,1.6,4.0,20,0.3,3,jump,0.8100220218657226,0.0046978205452599345,0.004514103023092441,0.003570949530017285,0.7910651378024959,0.8248077661262525,36.6,
0.0018,1.6,4.0,20,0.3,3,kmeans,0.8069327277587308,0.0046978205452599345,0.004514103023092441,0.003570949530017285,0.7910651378024959,0.8248077661262525,0.3,
0.0014,1.6,4.0,12,100,2,jump,0.7508957422869471,0.0045589810621657345,0.004367240342652788,0.0027642138238465302,0.6329429129076664,0.8486742498951347,36.2,
0.0014,1.6,4.0,12,100,2,kmeans,0.7515306463119771,0.0045589810621657345,0.004367240342652788,0.0027642138238465302,0.6329429129076664,0.8486742498951347,0.2,
0.0018,1.1,2.0,12,0.3,4,jump,0.7780228513026368,0.00594317997502665,0.004436739820926097,0.0036616562731325826,0.8253033580788768,4.988777621012027,37.4,
0.0018,1.1,2.0,12,0.3,4,kmeans,0.7750505405985961,0.00594317997502665,0.004436739820926097,0.0036616562731325826,0.8253033580788768,4.988777621012027,0.3,
0.0018,1.6,4.0,12,100,7,jump,0.8104139045680598,0.00470782731499715,0.004514194536182437,0.003579329284898847,0.792905413404229,0.8568316010456987,36.9,
0.0018,1.6,4.0,12,100,7,kmeans,0.8095008097313752,0.00470782731499715,0.004514194536182437,0.003579329284898847,0.792905413404229,0.8568316010456987,0.3,
0.0008,1.6,6.0,12,0.3,9,jump,0.6760270987898385,0.004321138758998435,0.004179024942475361,0.0016061346331776132,0.38433238740763576,0.48899054573405953,37.2,
0.0008,1.6,6.0,12,0.3,9,kmeans,0.673487580304988,0.004321138758998435,0.004179024942475361,0.0016061346331776132,0.38433238740763576,0.48899054573405953,0.4,
0.0016,0.8,6.0,12,100,9,jump,0.8134311099179019,0.0034505508424073172,0.0031678941619299648,0.00320009509095862,1.010164774257811,2.4390157579798606,37.0,
0.0016,0.8,6.0,12,100,9,kmeans,0.8337712713989712,0.0034505508424073172,0.0031678941619299648,0.00320009509095862,1.010164774257811,2.4390157579798606,0.2,
0.001,1.1,2.75,20,3,3,jump,0.7116006334490974,0.005218293419163596,0.0038279066692031676,0.001975974130554129,0.516202274849469,10.71773724942436,36.9,
0.001,1.1,2.75,20,3,3,kmeans,0.6998618706352384,0.005218293419163596,0.0038279066692031676,0.001975974130554129,0.516202274849469,10.71773724942436,0.3,
0.0005,1.1,2.75,12,0.03,5,jump,0.507976866091721,0.004950000184248581,0.0037044303433140776,0.0009789374048365183,0.2642612531784674,5.5409112715656,37.8,
0.0005,1.1,2.75,12,0.03,5,kmeans,0.5069076084555044,0.004950000184248581,0.0037044303433140776,0.0009789374048365183,0.2642612531784674,5.5409112715656,0.5,
0.0005,1.6,2.75,8,0.3,7,jump,0.5116985748946197,0.004525280757593853,0.004166329765362913,0.0009458982778745547,0.22703394381749356,1.2731661267619447,38.7,
0.0005,1.6,2.75,8,0.3,7,kmeans,0.5074053470953054,0.004525280757593853,0.004166329765362913,0.0009458982778745547,0.22703394381749356,1.2731661267619447,0.5,
0.0016,0.8,4.0,12,0.3,7,jump,0.8218436943895435,0.004020254491890032,0.0033106084948432593,0.0031902319047039177,0.963639134519577,5.02735040710076,35.4,
0.0016,0.8,4.0,12,0.3,7,kmeans,0.8195043741303081,0.004020254491890032,0.0033106084948432593,0.0031902319047039177,0.963639134519577,5.02735040710076,0.2,
0.0008,1.6,4.0,8,100,6,jump,0.6736920744273686,0.004428988042508963,0.004213461317991232,0.001622432526436786,0.38505931441902513,0.8389486125369836,34.7,
0.0008,1.6,4.0,8,100,6,kmeans,0.645549001687109,0.004428988042508963,0.004213461317991232,0.001622432526436786,0.38505931441902513,0.8389486125369836,0.6,
0.0016,1.6,6.0,12,30,0,jump,0.8201861434037966,0.0045323713169945915,0.0044215192047739596,0.0031695291264527367,0.7168416509489688,0.3971549622428179,35.5,
0.0016,1.6,6.0,12,30,0,kmeans,0.7855528061892285,0.0045323713169945915,0.0044215192047739596,0.0031695291264527367,0.7168416509489688,0.3971549622428179,0.2,
0.002,0.8,4.0,20,0.3,9,jump,0.8476804000858247,0.004286758791602749,0.003681836613872337,0.004006716772776901,1.0882386137615363,8.02921132075915,35.5,
0.002,0.8,4.0,20,0.3,9,kmeans,0.846628614312291,0.004286758791602749,0.003681836613872337,0.004006716772776901,1.0882386137615363,8.02921132075915,0.2,
0.0005,0.8,2.0,12,0.03,7,jump,0.5036559809134397,0.005867789851356622,0.003124831468775709,0.0009903627010346668,0.31693315653361787,7.664685141200927,35.9,
0.0005,0.8,2.0,12,0.03,7,kmeans,0.5032680836642642,0.005867789851356622,0.003124831468775709,0.0009903627010346668,0.31693315653361787,7.664685141200927,0.3,
0.002,0.8,6.0,20,100,5,jump,0.8392673830112473,0.003668495210559544,0.0035376574812166607,0.003993892116687312,1.128965180459965,1.944140852680178,35.4,
0.002,0.8,6.0,20,100,5,kmeans,0.8648467153237928,0.003668495210559544,0.0035376574812166607,0.003993892116687312,1.128965180459965,1.944140852680178,0.2,
0.001,1.4,2.0,8,100,0,jump,0.7029189512855089,0.00499541733002039,0.004195190763814849,0.0019422806839206304,0.4629779176369181,2.1405045890977767,35.6,
0.001,1.4,2.0,8,100,0,kmeans,0.5246930562416522,0.00499541733002039,0.004195190763814849,0.0019422806839206304,0.4629779176369181,2.1405045890977767,0.5,
0.0008,0.8,2.0,20,30,7,jump,0.5051553797523487,0.006934276344977322,0.003259866233943524,0.0015962078834771396,0.489654411845659,15.79656439366007,35.2,
