loc,alpha,k,clip_factor,rep,model,bac,sd,mad,d_med,cdist_mad,kurt,secs,error
0.0012,0.8,4.0,8,2,jump,0.7641812707642712,0.0037838138770522434,0.003016984400840035,0.0023797753772130123,0.7887927350736049,3.829793065335812,33.9,
0.0012,0.8,4.0,8,2,kmeans,0.7662896673387515,0.0037838138770522434,0.003016984400840035,0.0023797753772130123,0.7887927350736049,3.829793065335812,0.5,
0.0011,1.1,4.0,20,0,vae,0.7239414946032346,0.004474790780577584,0.0037599194644781326,0.002191533417230768,0.5828671166856887,5.414410922999407,957.5,
0.0011,1.1,4.0,20,0,jump,0.7242853035054693,0.004474790780577584,0.0037599194644781326,0.002191533417230768,0.5828671166856887,5.414410922999407,34.1,
0.0011,1.1,4.0,20,0,kmeans,0.7263361670748599,0.004474790780577584,0.0037599194644781326,0.002191533417230768,0.5828671166856887,5.414410922999407,0.6,
0.0014,1.6,2.0,20,2,vae,0.7197934802379784,0.005130788831642387,0.004447578597622212,0.0028151139166587673,0.6329542817216988,6.154417264077884,958.3,
0.0014,1.6,2.0,20,2,jump,0.5012839933634134,0.005130788831642387,0.004447578597622212,0.0028151139166587673,0.6329542817216988,6.154417264077884,33.0,
0.0014,1.6,2.0,20,2,kmeans,0.732778062067391,0.005130788831642387,0.004447578597622212,0.0028151139166587673,0.6329542817216988,6.154417264077884,0.3,
0.001,0.8,4.0,20,3,vae,0.7425940480796581,0.0038524411581485635,0.002898303818484422,0.0019829130492895215,0.6841632808276202,9.188045189220396,979.3,
0.001,0.8,4.0,20,3,jump,0.5009074966675384,0.0038524411581485635,0.002898303818484422,0.0019829130492895215,0.6841632808276202,9.188045189220396,33.5,
0.001,0.8,4.0,20,3,kmeans,0.7436474532270689,0.0038524411581485635,0.002898303818484422,0.0019829130492895215,0.6841632808276202,9.188045189220396,0.4,
0.0012,0.8,2.0,8,4,vae,0.7049628144226385,0.005172865187512333,0.003399701240961388,0.002416135300674493,0.7106904781995619,3.8937422749195134,975.0,
0.0012,0.8,2.0,8,4,jump,0.7227047448067486,0.005172865187512333,0.003399701240961388,0.002416135300674493,0.7106904781995619,3.8937422749195134,33.6,
0.0012,0.8,2.0,8,4,kmeans,0.5068487108790392,0.005172865187512333,0.003399701240961388,0.002416135300674493,0.7106904781995619,3.8937422749195134,0.6,
0.0005,1.6,2.0,12,3,vae,0.5938124730139412,0.004874222697669668,0.004224996663410249,0.0009996650659192946,0.23660730304870936,3.369858772178289,976.5,
0.0005,1.6,2.0,12,3,jump,0.5038487792898004,0.004874222697669668,0.004224996663410249,0.0009996650659192946,0.23660730304870936,3.369858772178289,32.4,
0.0005,1.6,2.0,12,3,kmeans,0.5043593488119564,0.004874222697669668,0.004224996663410249,0.0009996650659192946,0.23660730304870936,3.369858772178289,0.5,
0.0016,0.8,6.0,20,2,vae,0.8335906840182099,0.003475330172794516,0.003162711124763031,0.003190571326181308,1.0088089617797025,2.5377809652967294,990.0,
0.0016,0.8,6.0,20,2,jump,0.8253382767225328,0.003475330172794516,0.003162711124763031,0.003190571326181308,1.0088089617797025,2.5377809652967294,35.7,
0.0016,0.8,6.0,20,2,kmeans,0.8432125165644909,0.003475330172794516,0.003162711124763031,0.003190571326181308,1.0088089617797025,2.5377809652967294,0.3,
0.0011,1.6,4.0,20,3,vae,0.7153699191552858,0.004478759660477317,0.004249375196225208,0.0021709495300172854,0.5108867609397675,1.034906665476707,986.7,
0.0011,1.6,4.0,20,3,jump,0.7372396675265487,0.004478759660477317,0.004249375196225208,0.0021709495300172854,0.5108867609397675,1.034906665476707,34.5,
0.0011,1.6,4.0,20,3,kmeans,0.717240992619895,0.004478759660477317,0.004249375196225208,0.0021709495300172854,0.5108867609397675,1.034906665476707,0.5,
0.0008,0.8,2.75,12,2,vae,0.571409117427404,0.004748514633557402,0.0029932122576830523,0.0016106086314068321,0.5380870091229519,8.34917733788993,1002.3,
0.0008,0.8,2.75,12,2,jump,0.5085984749403114,0.004748514633557402,0.0029932122576830523,0.0016106086314068321,0.5380870091229519,8.34917733788993,35.7,
0.0008,0.8,2.75,12,2,kmeans,0.5090534149899372,0.004748514633557402,0.0029932122576830523,0.0016106086314068321,0.5380870091229519,8.34917733788993,0.7,
0.002,0.8,2.0,12,3,vae,0.7746883657244819,0.0061820811430563435,0.004127722285822116,0.0039835875271735715,0.9650812848665672,6.208324969299719,978.0,
0.002,0.8,2.0,12,3,jump,0.8006371423745104,0.0061820811430563435,0.004127722285822116,0.0039835875271735715,0.9650812848665672,6.208324969299719,35.6,
