loc,alpha,k,rep,sd,mad,d_mean,d_med,cdist,cdist_mad,kurt
0.0005,1.4,4.0,9,0.004410679756815389,0.003988737638260784,0.0009956716167140215,0.0009638020897145667,0.24163085595542327,0.24163085595542327,1.9204125518420785
0.0005,1.4,4.0,8,0.004399313900397345,0.0039627124190657215,0.0009803635395518949,0.0009775011790610435,0.2466747711385795,0.2466747711385795,1.9380401746042235
0.0005,1.4,6.0,1,0.004160327737933127,0.003901728233398304,0.0009535149141127814,0.0009543577875026649,0.24459873430791054,0.24459873430791054,0.9013600296782416
0.0005,1.4,6.0,0,0.0041773391452439,0.003964042255137414,0.0010168073132758124,0.0010230001329602615,0.2580699364731669,0.2580699364731669,0.8725903742891199
0.0005,1.4,6.0,2,0.004148770448787106,0.003915965938227171,0.0009803767676066636,0.0009841174228508772,0.25130898439234256,0.25130898439234256,0.7564443310625131
0.0005,1.4,6.0,3,0.0041879233760556914,0.003948308858006973,0.0010002537143076595,0.0009835800542128362,0.249114263748183,0.249114263748183,0.969581439501654
0.0005,1.4,6.0,5,0.004166013106305008,0.003947748326653533,0.0009975493269830265,0.000985116586277222,0.24953885221763755,0.24953885221763755,0.8526284213191593
0.0005,1.4,6.0,4,0.004170342661647037,0.0039339404523811,0.0009840156561118489,0.00102104160183365,0.2595467862803168,0.2595467862803168,0.9200748977361513
0.0005,1.4,6.0,6,0.004179392198315564,0.003941320334748479,0.0010377418467715572,0.0010245490941358003,0.259950728973463,0.259950728973463,0.9326126635529595
0.0005,1.4,6.0,7,0.004164014504143943,0.003931750163563726,0.0010335443334359594,0.0009930269724841509,0.25256614260151117,0.25256614260151117,0.8137549346124513
0.0005,1.4,6.0,8,0.004164614224625187,0.0039254003402550055,0.000998864956576106,0.0009626931517594866,0.2452471259777155,0.2452471259777155,0.9181812814866332
0.0005,1.4,6.0,9,0.004182081972708699,0.003941608141277768,0.001017136113071662,0.0010010059526641764,0.25395876931076056,0.25395876931076056,0.92407476294516
0.0005,1.6,2.0,0,0.00487697609814564,0.004204407397991108,0.0009818871096641168,0.001002179496596289,0.23836403129609574,0.23836403129609574,3.5766866647128444
0.0005,1.6,2.0,1,0.004888383962988718,0.004197640143384296,0.0009550188836162992,0.000965662192587747,0.2300488273416391,0.2300488273416391,3.661142579775074
0.0005,1.6,2.0,2,0.004828953623191101,0.004183075792116828,0.0010193797508522811,0.0010351641451117853,0.24746483127620902,0.24746483127620902,3.396428399396201
0.0005,1.6,2.0,3,0.004860948193115704,0.004208727102140691,0.0009790182394619098,0.000998159070148914,0.2371641225303534,0.2371641225303534,3.385704046038015
0.0005,1.6,2.0,6,0.0048643340707796925,0.004205581908510612,0.0009885823864671898,0.0010117138201307437,0.24056452641747206,0.24056452641747206,3.534222207432456
0.0005,1.6,2.0,4,0.004854050265084314,0.00420669587751565,0.0009815732189573116,0.0009662535189058851,0.22969417020859748,0.22969417020859748,3.3247834470168263
0.0005,1.6,2.0,5,0.004839550953304389,0.004204542692780251,0.0010110977866899043,0.0010404311778604515,0.2474540643021672,0.2474540643021672,3.3318132395120577
0.0005,1.6,2.0,7,0.004861538832851987,0.004160910361372236,0.001014535954980951,0.0009719146331442778,0.2335822088759797,0.2335822088759797,3.686323235962142
0.0005,1.6,2.0,9,0.004876580021043124,0.004190470699338847,0.000938213318559655,0.0009267606890070758,0.22115909058934494,0.22115909058934494,3.830726819788352
0.0005,1.6,2.0,8,0.004848654840785658,0.004218432461393675,0.001013742199759158,0.001010032524882775,0.23943313876099914,0.23943313876099914,3.3947101764002268
0.0005,1.6,2.75,0,0.004595660363572156,0.004139475895807493,0.0009771029390103552,0.0009583166991124696,0.23150677120334565,0.23150677120334565,2.241398386660854
0.0005,1.6,2.75,1,0.004611026304521404,0.004178052125192398,0.0009345430234673358,0.0009513467752344789,0.22770103070235623,0.22770103070235623,2.213025703471586
0.0005,1.6,2.75,2,0.004594182990482704,0.0041439263211535396,0.001032854427645639,0.000979081622381155,0.23626907104579245,0.23626907104579245,2.3559752319310476
0.0005,1.6,2.75,6,0.004600680386823159,0.004186045371207851,0.001002066396117698,0.0010071423460880496,0.24059518155615367,0.24059518155615367,2.2795087250277666
0.0005,1.6,2.75,3,0.004597742267685434,0.004161734692127193,0.0010385824564278926,0.0010284299591362721,0.24711569458806837,0.24711569458806837,2.304568221915189
0.0005,1.6,2.75,4,0.004602744125200413,0.004178024807986183,0.0009582743263950688,0.0009465201105957673,0.2265472691273923,0.2265472691273923,2.1772292749599913
0.0005,1.6,2.75,5,0.0045635823159872945,0.004164048708862396,0.0010586834864161653,0.0010734395150286285,0.2577874540093669,0.2577874540093669,2.1732894850426625
