loc,alpha,k,rep,bac
0.001,0.8,4.0,8,0.502266981785695
0.001,0.8,4.0,7,0.7466668151373719
0.001,0.8,4.0,9,0.50332665435009
0.001,0.8,6.0,1,0.75873541877394
0.001,0.8,6.0,2,0.7692547878382634
0.001,0.8,6.0,0,0.774316851751276
0.001,0.8,6.0,3,0.774810890793201
0.001,0.8,6.0,5,0.7625699310103686
0.001,0.8,6.0,4,0.777821953648935
0.001,0.8,6.0,6,0.7812995220284222
0.001,0.8,6.0,9,0.766809541596742
0.001,0.8,6.0,8,0.7515464623615034
0.001,0.8,6.0,7,0.7745734119562857
0.001,1.1,2.0,0,0.5116534281014873
0.001,1.1,2.0,1,0.5181808083887547
0.001,1.1,2.0,2,0.5187006080964328
0.001,1.1,2.0,4,0.5191700967754757
0.001,1.1,2.0,3,0.5362696535317523
0.001,1.1,2.0,5,0.5196826656266671
0.001,1.1,2.0,6,0.5152115030631654
0.001,1.1,2.0,7,0.5139683182950642
0.001,1.1,2.0,8,0.5168588820138562
0.001,1.1,2.0,9,0.506137646608545
0.001,1.1,2.75,0,0.5087876953167849
0.001,1.1,2.75,1,0.5044227039751313
0.001,1.1,2.75,2,0.5049943603254196
0.001,1.1,2.75,3,0.5062928214349791
0.001,1.1,2.75,4,0.515660701533246
0.001,1.1,2.75,7,0.7019893651896567
0.001,1.1,2.75,5,0.5965471403532029
0.001,1.1,2.75,6,0.5160368168680189
0.001,1.1,4.0,0,0.7079186462122562
0.001,1.1,2.75,8,0.5122408426344978
0.001,1.1,2.75,9,0.5026452683858245
0.001,1.1,4.0,1,0.683707747765346
0.001,1.1,4.0,5,0.7113493483031803
0.001,1.1,4.0,3,0.7222496091315114
0.001,1.1,4.0,2,0.6974932076249565
0.001,1.1,4.0,4,0.7095182522692589
0.001,1.1,4.0,6,0.7201533374807032
0.001,1.1,4.0,7,0.7134865528970316
0.001,1.1,4.0,9,0.7172071047924387
0.001,1.1,6.0,1,0.7241488866798172
0.001,1.1,4.0,8,0.705358043490798
0.001,1.1,6.0,0,0.7340146692665304
0.001,1.1,6.0,2,0.7015548423464675
0.001,1.1,6.0,8,0.7267398439699005
0.001,1.1,6.0,3,0.7482551168411473
0.001,1.1,6.0,6,0.7391971575155718
0.001,1.1,6.0,7,0.7404580497575424
0.001,1.1,6.0,5,0.7380059431752906
0.001,1.1,6.0,9,0.727989362294378
0.001,1.1,6.0,4,0.7122034948547267
0.001,1.4,2.0,0,0.5015951344502693
0.001,1.4,2.0,2,0.5085694742996872
0.001,1.4,2.0,1,0.5257923755531988
0.001,1.4,2.0,3,0.517702243673851
0.001,1.4,2.0,4,0.5087464122488694
0.001,1.4,2.0,5,0.5336129132861875
0.001,1.4,2.0,6,0.50260642675924
0.001,1.4,2.0,7,0.507355085453757
0.001,1.4,2.0,9,0.5058898262331715
0.001,1.4,2.75,2,0.5027462306642354
0.001,1.4,2.0,8,0.5046701698803325
0.001,1.4,2.75,0,0.6935905125029563
0.001,1.4,2.75,1,0.5034383267353835
0.001,1.4,2.75,3,0.7115648623379028
0.001,1.4,2.75,5,0.6934588649402929
0.001,1.4,2.75,4,0.6921403850951271
0.001,1.4,2.75,8,0.5023401274886251
0.001,1.4,2.75,6,0.680707161765346
0.001,1.4,4.0,0,0.7129093875216526
0.001,1.4,2.75,7,0.7087754832508564
0.001,1.4,2.75,9,0.5053038142925679
0.001,1.4,4.0,1,0.703483778156046
0.001,1.4,4.0,2,0.7082809759267582
0.001,1.4,4.0,3,0.7374413056351437
0.001,1.4,4.0,4,0.7048527399586293
0.001,1.4,4.0,5,0.7136775402343457
0.001,1.4,4.0,7,0.7168485678252301
0.001,1.4,4.0,6,0.7077809907093795
0.001,1.4,4.0,9,0.6843404478032536
