loc,alpha,k,clip_factor,feature_set,rep,model,bac,sd,mad,d_med,cdist_mad,kurt,secs,error
0.0005,0.8,2.0,12,all,17,kmeans,0.5113657102067312,0.005893541874180625,0.0031504982558604026,0.0010271252010547623,0.32601992371973365,7.732033991921266,4.6,
0.0005,0.8,2.0,12,all,12,kmeans,0.5020461728838268,0.005875805353138825,0.0031276963581015156,0.0009988285030278227,0.31934957510840434,7.739132914340017,6.4,
0.0005,0.8,2.0,12,means,1,kmeans,0.5932842084197566,0.005839667175857782,0.003117996462274848,0.0009644079931346733,0.3093037483535354,7.738065428095107,0.2,
0.0005,0.8,2.0,12,means,0,kmeans,0.5874348195414429,0.005883856672153753,0.003121938947020723,0.0010098300002390705,0.3234624434929308,7.780898859752456,0.9,
0.0005,0.8,2.0,12,all,10,kmeans,0.5017032079495203,0.005888058600464153,0.003139337936572999,0.0009524770284115383,0.30340060473110214,7.838734616008081,7.0,
0.0005,0.8,2.0,12,all,15,kmeans,0.5106201140380299,0.0058701670602995925,0.0031332180778696184,0.0009801500528574683,0.31282535351765417,7.795696978971282,6.2,
0.0005,0.8,2.0,12,all,6,kmeans,0.5019100782368046,0.00586770952698956,0.0031485693808783115,0.0010036324161914521,0.318758234227471,7.673146711980868,6.9,
0.0005,0.8,2.0,12,means,9,kmeans,0.5939363092830303,0.005897682999790163,0.0031401847719224408,0.0009844511580105733,0.3135010292429022,7.7027924666922445,0.2,
0.0005,0.8,2.0,12,means,10,kmeans,0.5914667670176266,0.005888058600464153,0.003139337936572999,0.0009524770284115383,0.30340060473110214,7.838734616008081,0.2,
0.0005,0.8,2.0,12,all,18,kmeans,0.5003102817515125,0.0058690457806018425,0.003126634008886791,0.0009730241520785873,0.3112050049071856,7.840814976150929,5.3,
0.0005,0.8,2.0,12,all,13,kmeans,0.5058543294383864,0.00591504119940016,0.0031254586748463886,0.0009813467754860104,0.3139848827258105,7.748375426250959,5.2,
